state,topmarginalrate,localincome,feddeduction,scorpincome,solepropincome
Alabama,0.05,0.001,1,2992588,6111508
Alaska,0,0,0,940480,1398025
Arizona,0.0454,0,0,4804997,7393748
Arkansas,0.07,0,0,1846717,3049801
California,0.133,0.001,0,50987832,70711006
Colorado,0.0463,0,0,5441535,9978474
Connecticut,0.067,0,0,5943117,12086659
Delaware,0.066,0.001,0,631101,1045107
Florida,0,0,0,15776557,38502499
Georgia,0.06,0,0,6197532,13814458
Hawaii,0.11,0,0,1501567,1340244
Idaho,0.074,0,0,1068042,2568022
Illinois,0.05,0,0,11795289,24258711
Indiana,0.034,0.013,0,4251682,9508931
Iowa,0.0898,0.003,1,2218145,4981460
Kansas,0,0,0,2407914,4944584
Kentucky,0.06,0.015,0,2954271,4441623
Louisiana,0.06,0,1,4099329,9016941
Maine,0.0795,0,0,1331291,1469123
Maryland,0.0575,0.03,0,6181856,11063816
Massachusetts,0.052,0,0,9716579,16974475
Michigan,0.0425,0.003,0,7759247,15492033
Minnesota,0.0985,0,0,4637993,11067327
Mississippi,0.05,0,0,2138146,3312295
Missouri,0.06,0.002,0,4590392,8346109
Montana,0.069,0,0,850734,2114703
Nebraska,0.0684,0,0,1278578,3865545
Nevada,0,0,0,2117693,3959818
New Hampshire,0,0,0,2001239,1198471
New Jersey,0.0897,0,0,11776797,19032716
New Mexico,0.049,0,0,1384344,1797456
New York,0.0882,0.019,0,25308388,44732199
North Carolina,0.058,0,0,6939992,11324896
North Dakota,0.0322,0,0,808106,2896199
Ohio,0.05421,0.016,0,9279257,15119450
Oklahoma,0.0525,0,0,3067762,7156399
Oregon,0.099,0.001,0,3553176,5463730
Pennsylvania,0.0307,0.015,0,12377030,17539656
Rhode Island,0.0599,0,0,1088654,1604571
South Carolina,0.07,0,0,2926952,4700501
South Dakota,0,0,0,720744,2102941
Tennessee,0,0,0,7438765,5289790
Texas,0,0,0,29059207,42523530
Utah,0.05,0,0,1509418,5281568
Vermont,0.0895,0,0,768337,722202
Virginia,0.0575,0,0,7614922,14085857
Washington,0,0,0,6742323,11074706
West Virginia,0.065,0,0,1269920,1524360
Wisconsin,0.0765,0,0,3987768,10245741
Wyoming,0,0,0,518474,2095726
DC,0.0895,0,0,1166451,2325206
